#,動画ID,タイトル,最終タイトル,長さ,列 6,列 7,列 8,列 9,列 10,貢献度,,,,,,,
0,E1qpUIDrIRk&t=48s,お花見弁当,【AI猫×癒し】へたくそでも、作りたかった。みやびへのサプライズ花見弁当🌸【もふもふ村の癒し】,,季節×癒し,,,🌙睡眠・リラックス,季節×癒し,,,,,,,,
1,QOcaLKrgLoQ,お花見,【ASMR】桜の下できのこパイを焼く音。もふもふ村のお花見パーティー【AI猫×癒し】,,季節×癒し,,,⭐感動ストーリー,季節×癒し,,,,,,,,
2,C9PpDjxSWII,雨の日くろまめ,【至福の癒やし】雨の日の秘密🤫チワワのくろまめとキラキラの宝箱💎【AI猫×癒し】,,キャラ深掘り,,,🌙睡眠・リラックス,季節×癒し,,,,,,,,
3,iwQF6bjJNDA,ホワイトデー,【大惨事】おじさん猫たちがホワイトデーに挑戦した結果が悲しすぎた…🍫【AI猫×癒し】,,コメディ,,,😂コメディ,コメディ,,,,,,,,
4,hz1b4CpE7fw,睡眠導入,【睡眠導入ASMR】ここで少し、休みませんか。もふもふ村の「風のカフェ」🌿 動物たちとまどろむ極上の自然音（風の音/鳥の声/3時間）【AI猫×癒し】,,睡眠,,,🌙睡眠・リラックス,季節×癒し,,,,,,,,
5,S0RCRvv04KY,ふわとルンパ,【AI猫×癒し】疲れた人だけ見てください。はちゃめちゃ子猫と魔法少女の、脳がとろける休日🌿🐈,,キャラ深掘り,,,🌙睡眠・リラックス,季節×癒し,,,,,,,,
6,XzFCBP2VyVc,うさぎふわの休日,【AI猫×癒し】疲れた日は、森へ逃げよう。天才魔法少女ふわの「自分を甘やかす」休日ルーティン【癒しASMR】,,キャラ深掘り,,,🌙睡眠・リラックス,季節×癒し,,,,,,,,
7,113NqX9Pi30,バレンタイン,【AI猫×癒し】チョコ作ったら研究所が爆発しました｜もふもふ村のバレンタイン,,コメディ,,,😂コメディ,コメディ,,,,,,,,
8,LJ5v1h8BBZk,ルンパとルル,【AI猫×癒し】やんちゃな画伯に汚されました。大騒ぎのち、仲良くお風呂で温まろう。,,コメディ,,,😂コメディ,コメディ,,,,,,,,
9,pJAWJH0gbnA,うさぎふわの平日,【密着】魔法学校に通ううさぎ、ふわの平日ルーティン🐰雪の森の暮らし【AI猫×癒し】,,キャラ深掘り,,,🌙睡眠・リラックス,季節×癒し,,,,,,,,
10,cXWLR7JHt88,名探偵チャイ,【衝撃】犯人は…おいしかった？名探偵チャイの「消えた巨大ニンジン」事件簿【AI猫×癒し】🥕,,コメディ,,,😂コメディ,コメディ,,,,,,,,
11,L3KE_yP4_pU,シチュー,【AI猫×癒し】雪遊びで冷えた体を温める、とろ〜り具だくさんシチュー。｜AI猫の料理 ASMR,,季節×癒し,,,🌙睡眠・リラックス,季節×癒し,,,,,,,,
12,XF_BpRSKGkM,オムライス,【AI猫×癒し】失敗した夜のオムライス。涙を拭いてくれたのは白猫ルルの料理でした｜Cooking & Story【感動】,,キャラ深掘り,,,⭐感動ストーリー,季節×癒し,,,,,,,,
13,d0utyarFS2w&t,ひさしぶりのお母さん,【涙の再会】離れて暮らす母猫と過ごすお正月。ひとりぼっちだった家の奇跡｜【AI猫×癒し】,,コメディ,,,😂コメディ,コメディ,,,,,,,,
14,8aZeqhoRN_A,年末大掃除,年末大掃除【完全版】天使ねこと古い天使たちがひかる夜｜もふもふ村,,季節×癒し,,,⭐感動ストーリー,季節×癒し,,,,,,,,
15,QRwH_349Yf8,クリスマスパーティ,泣いちゃうクリスマスの夜｜もふもふ村の天使ねこ物語【全5話まとめ】,,キャラ深掘り,,,⭐感動ストーリー,季節×癒し,,,,,,,,
16,Y5t5XEAGD7o,クリスマス配達,【AI猫×癒し】今夜、奇跡を届けにいく。小さな魔法が世界を変える夜｜Delivering Miracles Tonight,,季節×癒し,,,🌙睡眠・リラックス,季節×癒し,,,,,,,,
17,WMAQaJUgvjk,ぽむころドーナツ,【AI猫×癒し】ぽむころパティシエの全自動ドーナツおやつパーティー｜もふもふコメディ物語 / Pomukoro’s Automatic Donut Snack Party,,キャラ深掘り,,,😂コメディ,コメディ,⭐⭐⭐⭐⭐,,,,,,,
18,JkGlWqb5uig,キャンプ②,【AI猫の癒し】秋のキャンプ物語 第2話 キャンプ中に緊急事態！？もふもふたちが泉の秘密に気づいてしまった…| もふもふ村の癒し,,季節×癒し,,,⭐感動ストーリー,季節×癒し,,,,,,,,
19,_4JcQgpCbd8,キャンプ①,【AI猫の癒し】秋のキャンプ物語 第1話「心を開く勇気」| 一人で頑張りすぎたルルと白鳥の精霊の出会い | もふもふ村の癒し,2分12秒,キャラ深掘り,,,⭐感動ストーリー,キャラ紹介,,,,,,,,
20,PcR7zoXoKog,しゃべる子猫、人間界へ,【優しい世界】初めてのアルバイト、失敗だらけのルンパを支えた仲間たち,70秒,キャラ深掘り,-,-,😂コメディ,コメディ,⭐⭐,,,,,,,
21,mUGNQjHkyRc,100円玉の雨,【小さな奇跡】魔法を失敗したふわ、でもそこから生まれた村の笑顔,70秒,キャラ深掘り,8-10%,05万〜15万,😂コメディ,ユーモア系,⭐⭐⭐,,🎯 STEP 2: 全43本を収益化戦略で並び替え,,,,,
22,Hmcx28O3cW8,ルンパ、人間界へ？！,【秘密】人間に話しかけるAI猫の正体が可愛すぎる件,70秒,キャラ深掘り,9-11%,08万〜18万,😂コメディ,キャラ紹介,⭐⭐⭐,,3つのグループ分類,,,,,
23,uY1mWwxEEB8,オムライス物語,【感動】AI猫が初めてオムライスを作った結果、涙が止まらない,70秒,Shorts,8-10%,05万〜12万,😂コメディ,料理系,⭐⭐⭐,,🔥 Tier S: 即効エンジン（今すぐ最適化実装）,,,,,
24,LUpDA19lrBM,Sweet Latte Time,【1分で癒される】頑張ったあなたへ｜AI猫ガールズバンドの優しい歌,70秒,Shorts,7-9%,03万〜10万,🌙睡眠・リラックス,カフェ系,⭐⭐,,視聴時間を爆発的に稼ぐ or バイラル性が異常に高い,,,,,
25,TMgKK7ZB-LY,MofuMofu TV Ep3,【13分の癒し】ASMR料理×シティポップ×ミステリー｜AI猫バラエティ,17分,長編TV番組,7-9%,30万〜45万,📺もふもふTV完全版,長編TV番組,⭐⭐⭐⭐⭐,,,,,,,
26,u_fueLdT9Sg,もふもふ祭り！Ep2,【17分の癒し】歌・ダンス・料理・占い全部入り｜AI猫お祭りバラエティ,14分,長編TV番組,8-10%,35万〜50万,📺もふもふTV完全版,長編TV番組,⭐⭐⭐⭐⭐,,優先順位,#,タイトル,予測再生数,理由,
27,jEOtufSuQyk,もふもふTV Ep1,【13分の癒し】ライブ×ドラマ×料理×占い｜もふもふTV記念すべき第1回,13分,長編TV番組,8-10%,30万〜45万,📺もふもふTV完全版,長編TV番組,⭐⭐⭐⭐⭐,,1位,29,白ハムスター先生のサプライズ,85万〜110万,CTR 14%、貢献度MAX,
28,uQFr1z0LRqk,もふもふ村のTV 開局OP,【もふもふTV開局】AI猫バラエティ番組がついにスタート！記念OP,70秒,ブランド確立,7-9%,08万〜15万,📺もふもふTV完全版,TV番組シリーズ,⭐⭐⭐,,2位,25,猫のファッションショー,80万〜100万,TRON猫バイラル性,
29,U_RS8C7NTQE,ドジ4連発,【衝撃】AI猫たちの大失敗4連発が可愛すぎて笑える｜もふもふ村ドタバタ劇,70秒,コメディ,8.5-10%,10万〜20万,😂コメディ,コメディ,⭐⭐⭐,,3位,27,神様が時を止めた日,60万〜71万,社会派メッセージで拡散力,
30,x6werDrDEYg,ケーキ消失事件,【衝撃】消えたケーキの犯人は誰？探偵AI猫が解き明かす意外な真実｜もふもふ村ミステリー,2分46秒,推理コメディ,8.5-10.5%,15万〜28万,😂コメディ,推理コメディ,⭐⭐⭐⭐,,4位,26,ありがとうの手紙,50万〜65万,感動系、シェア率高,
31,Eq-oKDhiM8s,クリスマスの奇跡,【癒し】AI猫たちの温泉旅行2泊3日が可愛すぎる♨️列車×桜×温泉｜もふもふ村の春,2分,季節×癒し,7.5-9.5%,15万〜30万,⭐感動ストーリー,季節×癒し,⭐⭐⭐,,5位,23,ピグミーマーモセット,40万〜52万,珍しい動物、検索流入強,
32,W4XauVDgFps,ルンパの衝撃アート,【衝撃】天才AI猫の作品に先生も絶句！？ルンパの謎アートの正体｜もふもふ村の日常,3分6秒,キャラ深掘り,8-10%,18万〜35万,😂コメディ,キャラ深掘り,⭐⭐⭐⭐,,6位,28,雨の日の釣り,40万〜55万,家族系、幅広い層,
33,YN1CJHFjWvk,ルルの冷たい夏ごはん,【癒し】白猫ルルの魔法クッキング♡夏の冷たいスイーツ3品が可愛すぎる｜もふもふ村の夏,3分38秒,料理×夏,7.5-9.5%,12万〜25万,😂コメディ,料理×夏,⭐⭐⭐⭐,,7位,15,6時間スリープBGM,25万回,視聴時間の柱（6時間！）,
34,L601-PARZVc,6時間スリープBGM,【睡眠BGM】AI猫たちと眠る6時間｜焚き火×虫の声×寝息｜もふもふ村で安眠,6時間,視聴時間の柱,6.5-8.5%,25万回,🌙睡眠・リラックス,視聴時間の柱,⭐⭐⭐⭐⭐,,"→ この7本を今週中に最適化実装すれば、収益化に必要な視聴時間4,000時間の60%以上をカバーできる。",,,,,
35,80YzPZal3Hc,ぽんぽんの魔法,【癒し】ぽんぽんの魔法で笑顔が伝染♡AI猫たちの優しさリレー｜もふもふ村の夏,不明,優しさ連鎖,7.5-9.5%,15万〜30万,⭐感動ストーリー,優しさ連鎖,⭐⭐⭐,,,,,,,
36,hX_lfL3FpN8,いちばん優しいごはん,【癒し】AI猫たちが作る朝ごはん♡みんなで料理する優しい時間｜もふもふ村の日常,不明,料理×日常,7.5-9.5%,12万〜25万,⭐感動ストーリー,料理×日常,⭐⭐⭐⭐,,💎 Tier A: 金脈候補（Shorts化で拡散）,,,,,
37,cfs8FoX90Jc,流しそうめん,【夏】AI猫たちの手作り流しそうめん大作戦！竹から作る夏の思い出｜もふもふ村の夏,不明,冬×DIY,8-10%,18万〜35万,🌙睡眠・リラックス,冬×DIY,⭐⭐⭐⭐,,既に実績があるor季節性で爆発する可能性,,,,,
38,s2-F801nNbk,しろみの自由研究,【癒し】AI猫の夏休み自由研究♡森で見つけた小さな発見たち｜もふもふ村の夏休み,3分,夏休み×教育,7.5-9.5%,12万〜25万,😂コメディ,夏休み×教育,⭐⭐⭐⭐,,,,,,,
39,GqvFP0F-gLs,【七夕】織姫と彦星の願い｜星空劇場,【七夕】AI猫たちの七夕劇が泣ける✨織姫と彦星の願い｜もふもふ村の星空劇場,約2分,七夕×感動劇,8-10%,15万〜30万,⭐感動ストーリー,七夕×感動劇,⭐⭐⭐⭐,,,#,タイトル,予測再生数,Shorts戦略,
40,wABVNNkFOsA,ほっぺパンパンハムスター,【ジブリ風】もふもふ村の魔法学校｜森と魔法と料理の癒し時間✨3分版,不明,世界観確立,9-11%,20万〜40万,😂コメディ,世界観確立,⭐⭐⭐⭐,,,22,白猫ルルとモモの友情,35万〜48万,感動シーン30秒切り出し,
41,y5voq9C2f9Q,【感動】白猫ルルとモモの友情物語,【感動】初めて笑った日｜白猫ルルとモモの友情物語✨もふもふ村の奇跡,約3分,異種間友情,10-12%,35万〜48万,⭐感動ストーリー,異種間友情,⭐⭐⭐⭐⭐,,,33,母の日の優しい奇跡,18万〜30万,2025年5月直前投稿,
42,cI8nj5tBOzc,【世界最小】ピグミーマーモセット,【もふもふ村】新しい家族がやってきた！✨ピグミーモンキーの歓迎会｜癒しの物語,不明,珍しい動物,11-13%,40万〜52万,なし（独立）,珍しい動物、特殊,⭐⭐⭐⭐⭐,,,40,雪の日のサプライズ,18万〜30万,次の冬（2025年12月）に再投稿,
43,w_LGEEixo2w,もふもふ村の朝の体操,【もふもふ村】朝の体操タイム✨犬コーチと楽しく体を動かそう｜朝活エクササイズ,不明,朝活×健康,8.5-10.5%,18万〜35万,😂コメディ,朝活×健康,⭐⭐⭐⭐,,,13,ルンパの衝撃アート,18万〜35万,アートシーンのみ抜粋,
44,2JY74qF2vZU,【もふもふ村】猫のファッションショー,【もふもふ村】猫のファッションショー✨5匹のモデル猫が大活躍｜AI猫アイドル,約2分,TRON猫バイラル,13-15%,80万〜100万,😂コメディ,TRON猫バイラル,⭐⭐⭐⭐⭐,,,6-8,もふもふTV（Ep1-3）,各30万〜50万,ハイライト集を3本作る,
45,sEUXMvLFOrQ,【泣ける】言えなかった「ありがとう」の手紙,【泣ける】もふもふ村の旅と、言えなかった「ありがとう」の手紙✨感動の癒し物語,約2分,感謝×旅,12-14%,50万〜65万,⭐感動ストーリー,感謝×旅,⭐⭐⭐⭐⭐,,"→ この5本からShorts10本作成で、新規登録者を2,000人以上獲得できる。",,,,,
46,BQ_YOaAG_hQ,【もふもふ村の奇跡】神様が時を止めた日,【神様の奇跡】忙しすぎて心を失った村に、シマエナガが時を止めた日✨もふもふ村,不明,社会派メッセージ,12.5-14.5%,60万〜71万,⭐感動ストーリー,社会派メッセージ,⭐⭐⭐⭐⭐,,,,,,,
47,xcwGRiAWqWY,雨の日の釣り・家族の思い出,【雨の日の奇跡】釣れなくてもいい、家族で過ごした時間が思い出になった☔✨猫家族,不明,家族×感動,11-13%,40万〜55万,⭐感動ストーリー,家族×感動,⭐⭐⭐⭐⭐,,🌱 Tier B: 育成中（コメント返信で育てる）,,,,,
48,0LoUrI44_ss,白ハムスター先生のサプライズ,【感動のサプライズ】白ハムスター先生の誕生日｜4人でラザニア・オムライス・ケーキを手作り,3分23秒,先生への感謝,14%,85万〜110万,⭐感動ストーリー,先生への感謝,⭐⭐⭐⭐⭐,,再生数は少ないが、エンゲージメントが高い or ロイヤル視聴者育成用,,,,,
49,nOmVpga7154,森のレストラン,【もふもふ村のレストラン】森の食材で心温まる料理｜小さな動物たちの優しい一日,不明,シリーズ第1弾,11.50%,35万〜50万,😂コメディ,シリーズ第1弾,⭐⭐⭐⭐⭐,,,,,,,
50,HQw8KsmEV2g,リラクゼーションルーム,【AI猫】かわいい動物たちのスパ＆ヨガタイム🧘もふもふ村リラクゼーション｜癒し動画,2分43秒,癒し×体験型,8-10%,12万〜20万,🌙睡眠・リラックス,癒し×体験型,⭐⭐⭐⭐,,,#,タイトル,現在の再生数,コメント数,戦略
51,oBT0MEORTl0,ありがとうの花が咲くとき,【AI猫】風が運んだ「ありがとう」の種🌸もふもふ村の感動ストーリー,不明,感動ストーリー,9-11%,15万〜25万,⭐感動ストーリー,感動ストーリー,⭐⭐⭐⭐,,,32,ありがとうの花,206回,8件,全コメント返信
52,xVg2np0ygY8,母の日の優しい奇跡,【AI猫】母の日、もふもふ村で起きた優しい奇跡🌸,1分28秒,季節イベント,8.5-10.5%,18万〜30万,⭐感動ストーリー,季節イベント,⭐⭐⭐⭐⭐,,,37,こいのぼり,"1,202回",6件,季節前に再プロモート
53,-MjWYgPuxr8,魔法の木が枯れた日,【AI猫】魔法の木が枯れた日、動物たちは光を信じた🌳もふもふ村の奇跡,不明,希望×感動,7.5-9.5%,10万〜18万,⭐感動ストーリー,希望×感動,⭐⭐⭐,,,31,リラクゼーションルーム,"3,183回",6件,「癒し」検索最適化
54,Zwuk9Qer948,もふもふカフェへ,【AI猫】ようこそ、もふもふカフェへ☕旅するペルシャ猫と優しい時間,不明,カフェ×癒し,8-10%,12万〜20万,🌙睡眠・リラックス,カフェ×癒し,⭐⭐⭐⭐,,→ この3本は最適化実装後、コメント欄を活性化させて、YouTubeアルゴリズムに「エンゲージメント高い動画」と認識させる。,,,,,
55,wBWfCJEmuTo,春のピクニック大冒険,【AI猫】春の花畑でピクニックと笑顔の大冒険🌼もふもふ村の癒し旅,不明,春×明るい,7.5-9.5%,10万〜18万,😂コメディ,春×明るい,⭐⭐⭐,,,,,,,
56,VyYrdetjry4,こいのぼりの一日,【AI猫】もふもふ村のこいのぼりの一日🎏癒しと笑顔がいっぱいの子どもの日,1分16秒,季節イベント,8-10%,12万〜20万,😂コメディ,季節イベント,⭐⭐⭐⭐,,📅 STEP 3: 実装ロードマップ（5ヶ月計画）,,,,,
57,hZwlhiBDNUk,おにぎりピクニック,【AI猫】もふもふたちとおにぎりピクニック🍙小さな森の癒し時間,不明,食×日常,7.5-9.5%,10万〜18万,😂コメディ,食×日常,⭐⭐⭐⭐,,Week 1-2（11月）: Tier S 7本の最適化実装,,,,,
58,HxSz7orAKss,夏まつり,【AI猫】もふもふ村の夏まつり🎐灯りと花火とふわふわな夜,1分16秒,夏×祭り,8.5-10.5%,15万〜25万,😂コメディ,夏×祭り,⭐⭐⭐⭐,,タイトル・説明文・ハッシュタグ更新,,,,,
59,CK7wDnqifiM,雪の日のサプライズ,【AI猫】だれもが覚えてた日、ぼくだけ忘れてた❄️雪の日のサプライズ,不明,感動×ミステリー,9-11%,18万〜30万,⭐感動ストーリー,感動×ミステリー,⭐⭐⭐⭐⭐,,ピン留めコメント投稿,,,,,
60,_Im7wbDyDMo,焼き芋パニック,【AI猫】もふもふ村にふしぎな光が落ちた日🍠焼き芋パニックで大騒ぎ！,不明,コメディ×秋,8.5-10.5%,15万〜25万,😂コメディ,コメディ×秋,⭐⭐⭐⭐,,既存コメント返信（各動画10件目標）,,,,,
61,-yqP-Mhy--A,朝ごはん焦げパン,【AI猫】もふもふ村の朝ごはん🍞焦げパンで朝からてんやわんや,1分30秒,コメディ×日常,8-10%,12万〜20万,😂コメディ,コメディ×日常,⭐⭐⭐⭐,,"目標: 視聴時間4,000時間の60%達成",,,,,
62,tTO725_bgP0,春の温泉旅行,【癒し】AI猫たちの温泉旅行2泊3日が可愛すぎる♨️列車×桜×温泉｜もふもふ村の春,1分,温泉×旅行,8-10%,12万〜20万,🌙睡眠・リラックス,温泉×旅行,⭐⭐⭐⭐,,,,,,,
,,,,,,,,,,,,Week 3-4（12月）: Tier A からShorts作成,,,,,
,,,,,,,,,,,,母の日動画からShorts 2本,,,,,
,,,,,,,,,,,,雪の日からShorts 2本,,,,,
,,,,,,,,,,,,もふもふTVからShorts 3本,,,,,
,,,,,,,,,,,,"目標: 登録者1,000人突破達成（現在2,110人 → 3,500人）",,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Month 2-3（1月〜2月）: Tier B 育成 + 残り30本の最適化,,,,,
,,,,,,,,,,,,#1-30の未最適化動画を週5本ペースで実装,,,,,
,,,,,,,,,,,,Tier B 3本のコメント欄活性化,,,,,
,,,,,,,,,,,,目標: 全43本の最適化完了,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Month 4-5（3月〜4月）: 収益化達成スプリント,,,,,
,,,,,,,,,,,,6時間スリープBGMの再プロモート,,,,,
,,,,,,,,,,,,人気動画の関連動画最適化,,,,,
,,,,,,,,,,,,母の日（5月）に向けたShorts集中投稿,,,,,
,,,,,,,,,,,,目標: 2025年4月末までに収益化達成🎉,,,,,